"area","name","lat","long","status","note"
"墨田区","24-7","35.7126992","139.8275294","0","東京都墨田区文花３-１６-８先 那須電機鉄工寮前植込地（明治通り）"
"墨田区","24-8","35.7101364","139.8280191","0","東京都墨田区文花３-２２-１０ 東武鉄道小村井駅脇"
"墨田区","25-1","35.7198139","139.8241338","0","東京都墨田区八広１-２８-２１ 都立日本橋高校"
"墨田区","25-2","35.7211693","139.8252581","0","東京都墨田区八広１-３８-１３ みわさと公園"
"墨田区","25-3","35.717171","139.82775","0","東京都墨田区八広２-３６-３ 第三吾嬬小学校（八広２-２３向）"
"墨田区","25-4","35.717171","139.82775","0","東京都墨田区八広２-３６-３ 第三吾嬬小学校（八広はなみずき通り向）"
"墨田区","25-5","35.7153581","139.8267376","0","東京都墨田区八広２-４３-１６ 舟原公園"
"墨田区","25-6","35.7194013","139.827119","0","東京都墨田区八広３-１３-１９ 八広中央公園"
"墨田区","25-7","35.7177861","139.8278329","0","東京都墨田区八広３-２１-６ 都営八広三丁目アパート（６号棟前）"
"墨田区","25-8","35.7196784","139.8287723","0","東京都墨田区八広３-２４-８ 八広三丁目広場"
"墨田区","26-1","35.7215305","139.8272356","0","東京都墨田区八広４-４-４ 吾嬬第二中学校（八広４－１１向）"
"墨田区","26-2","35.7218305","139.8272356","0","東京都墨田区八広４-４-４ 吾嬬第二中学校（裏門左）"
"墨田区","26-3","35.7225835","139.8270615","0","東京都墨田区八広４-１１-６ あおぎり児童遊園"
"墨田区","26-4","35.722749","139.8266177","0","東京都墨田区八広４-１２先 八広四丁目植樹帯"
"墨田区","26-5","35.7233848","139.8293609","0","東京都墨田区八広４-３５-１７ 八広地域プラザ"
